event,n_produced,n_wall,n_pmt,first_residual_ns
0,2734448,2627478,0,0.0267807
1,384163,376716,0,0.026692
2,7191304,7049143,0,0.112766
3,387157,375134,0,0.0771977
4,21793,21099,0,0.246712
5,134474,133043,0,0.0858682
6,1303,1281,0,0.0163093
7,50637,50330,0,0.063241
8,1802843,1715442,0,0.228391
9,1587926,1505987,0,1.981
10,2357109,2265497,0,0.0295689
11,715815,683761,0,-0.138833
12,309420,303447,0,0.0360586
13,1304187,1243686,0,0.118319
14,11622,11163,0,0.00908253
15,1506405,1483008,0,0.125713
16,1107902,1088346,0,0.0446885
17,1352858,1285136,0,0.284972
18,311021,307581,0,0.0570845
19,5781,5737,0,0.0796405
20,11289,11194,0,0.0544885
21,184119,175256,0,0.117262
22,3908715,3717276,0,0.0272487
23,2749421,2629769,0,0.165967
24,480316,470572,0,0.219099
25,32585343,31768428,0,0.228967
26,44004,43071,0,0.119834
27,316213,312803,0,0.0350399
28,83978,80925,0,0.415617
29,9060,8926,0,0.0159043
30,2928528,2893848,0,0.22095
31,6394813,6265166,0,0.250325
32,1233545,1213374,0,0.267486
33,107421,106196,0,0.237074
34,4711552,4547811,0,0.561843
35,657072,641504,0,0.105551
36,1486237,1450658,0,0.0906209
37,100319,98193,0,0.244737
38,2379538,2269290,0,0.296019
39,497273,485792,0,0.169118
40,1521,1519,0,0.00417855
41,5454276,5309118,0,6.66682
42,460700,449527,0,0.555266
43,46350,45990,0,0.0784891
44,59162,58543,0,0.127455
45,4724709,4549674,0,0.0705715
46,242061,240162,0,0.0664515
47,263158,259220,0,0.092133
48,203049,200002,0,0.100646
49,5159701,4942000,0,0.161505
50,51597,50368,0,0.146003
51,230579,225071,0,0.038081
52,2844812,2755037,0,0.311244
53,2658578,2570460,0,0.16102
54,274104,262538,0,0.228486
55,2129180,2089597,0,0.223334
56,6055171,5938249,0,0.0504694
57,300038,288766,0,0.146075
58,3402323,3255002,0,0.14496
59,677039,666247,0,0.0808161
60,1114210,1074203,0,0.212163
61,3258,3207,0,0.00191633
62,3564497,3465690,0,0.220791
63,29595,28823,0,0.0665448
64,227484,222695,0,-0.310063
65,677843,651474,0,0.382913
66,6859078,6582485,0,0.149948
