ev,dx,dy,dz,r_mm,z_abs_mm,inCan,p_meas_MeV,E_g4_MeV,E_root_MeV,dE_MeV,dE_over_E_pct,t_g4_ns,t_root_ns,dt_ns,dtheta_deg,vtx_ok,ang_ok,Ene_ok,tim_ok,PASS,notes
0,-3.555585742276435e-05,0.00020758150276378728,-0.0047913470748426334,1089.4111030487802,2757.03,True,1043.59,1048.9250216597943,1048.9250801498267,-5.8490032415647875e-05,-5.576187806215221e-06,147.215,147.21503831442232,-3.831442231216897e-05,0.0,True,True,True,True,True,
1,-0.00012641013520919842,-0.0036119754549872596,0.004350217665887612,1106.3694290918381,7402.14,True,1132.22,1137.1392796680625,1137.1430158615112,-0.0037361934487307735,-0.0003285596795316194,137.06,137.06002450061004,-2.450061003855808e-05,0.0,True,True,True,True,True,
2,0.00011026554835780189,-7.819594191005308e-05,-0.005718090793379815,621.4444167300886,19390.8,True,3964.24,3965.6477895249345,3965.6498432159424,-0.0020536910078590154,-5.178699807226488e-05,141.242,141.24243941018668,-0.000439410186686473,0.039678283465719305,True,True,True,True,True,
3,-0.0004708172311893577,0.00016420668566752283,-0.0013725435201195069,1285.9823385194682,19968.9,True,1026.13,1031.5553256437584,1031.552791595459,0.0025340482993669866,0.000245653767796768,135.904,135.90363164598125,0.00036835401874668605,0.0,True,True,True,True,True,
4,-0.0014043640344425512,-0.00012090085522231675,0.0023431403205904644,1484.0819240220533,15104.5,True,23281.9,23282.13974751814,23282.14139150993,-0.0016439917890238576,-7.061170883634252e-06,140.093,140.0925061335176,0.0004938664824010175,0.018130039271334563,True,True,True,True,True,
5,0.0015736195548470278,3.904317152603198e-05,0.021512691408133833,1162.01410413396,18643.7,True,1845.62,1848.641879154532,1848.6391305923462,0.002748562185843184,0.00014868029894847472,159.874,159.87425679807657,-0.0002567980765775246,0.05240559644687412,True,True,True,True,True,
6,-0.0001859832066202216,-0.002041627576090832,-0.022624608587648254,1260.3603608496262,19941.0,True,3327.83,3329.5068886944805,3329.508066177368,-0.001177482887669612,-3.5365070883323866e-05,136.505,136.50499728057562,2.7194243727990397e-06,0.03417359664251973,True,True,True,True,True,
7,0.0001921955114312368,0.00023939910329318081,-0.010014011786552146,888.0632163134559,16261.0,True,3945.75,3947.164384145155,3947.1609592437744,0.0034249013806402218,8.676872861289115e-05,154.916,154.91635046758475,-0.0003504675847523231,0.0,True,True,True,True,True,
8,-0.0041094110049471055,0.0003968262417970436,-0.03038259888671746,1193.7692985351064,11381.1,True,632.613,641.3757250886566,641.3757801055908,-5.501693419773801e-05,-8.57795630958819e-06,134.89,134.8900320224588,-3.202245881084309e-05,0.047144198536308586,True,True,True,True,True,
9,-0.00025720057590206125,-0.0001303918505755064,-0.0031277417692763265,997.9381787104851,3428.91,True,3109.13,3110.924777275079,3110.9204292297363,0.004348045342794649,0.00013976716671828293,138.294,138.29435908527722,-0.00035908527721062455,0.053621765107991604,True,True,True,True,True,
